sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana;	218	0	0	0	0	0	0	0	0	642	160	151	22	72	57	304	135	207
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;;	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	4
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus niger;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;;	9	0	0	5	0	0	0	0	0	22	115	36	16	29	19	76	122	21
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;;	16	0	0	0	0	0	0	0	0	75	801	213	28	10	36	3	41	29
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium rubens;	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. ShG4C;	34	3	8	56	6	1	0	1	0	303	3989	175	144	27	1169	146	888	743
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;NA;;;	0	3	195	0	0	0	0	0	1	5	4	82	0	0	2	1	3	2
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;NA;Aspergillus;;	0	153	1475	17	2	1	2	0	2	0	0	2	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;;	0	143	1006	1	1	0	0	0	6	0	3	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces marneffei;	0	20	41	17	0	1	1	0	0	1	0	0	0	0	0	0	2	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Mycocalicium;Mycocalicium subtile;	6	17	113	1594	182	519	1071	32	9	1	0	0	0	0	0	2	2	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	10	2	0	0	0	0	0	0	16	29	2	9	3	0	1	1	7	2
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum;Microsporum canis;	0	2	0	0	0	0	0	2	22	0	0	0	0	0	0	0	0	1
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;NA;;	3	26	22	377	59	14	223	67	290	3	0	1	1	2	2	8	0	0
Eukaryota;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora strobilina;	0	4	12	166	195	3	1548	636	76	0	0	0	0	1	1	0	0	0
